target,model,n_train,n_test,RMSE,Spearman_rho,R2
Y_1m_gt,Ridge,66,29,7.949468821701917,0.9001776119235279,0.8271949280630652
Y_1m_gt,RandomForest,66,29,10.99417502511028,0.8403799226329722,0.6694740534872379
Y_1m_gt,XGBoost,66,29,13.483041014600866,0.816411427338824,0.5028860211471791
Y_2m_gt,Ridge,66,29,10.891494276747512,0.7979303419594613,0.5956611683318888
Y_2m_gt,RandomForest,66,29,14.753806580699425,0.5685006189456832,0.25804308298072387
Y_2m_gt,XGBoost,66,29,13.457831043408463,0.6480269685272648,0.382665341396929
Y_3m_gt,Ridge,66,29,18.02600820341524,0.5473174086301925,0.2553206748270733
Y_3m_gt,RandomForest,66,29,24.64319516831063,0.080937831393464,-0.3917595207049156
Y_3m_gt,XGBoost,66,29,23.09970914358664,0.10191257428506291,-0.22287816603688237
Y_4m_gt,Ridge,48,21,19.329693637647303,0.07424323644203562,-0.5797168116048783
Y_4m_gt,RandomForest,48,21,19.577131064440614,-0.10810857236296417,-0.6204192546449869
Y_4m_gt,XGBoost,48,21,22.195175200557955,-0.20188950260553545,-1.0827946500000682
Y_5m_gt,Ridge,41,21,16.16179533793538,-0.052924900649291874,-0.9238225697855837
Y_5m_gt,RandomForest,41,21,17.716147631603263,-0.2116996025971675,-1.3116623041786362
Y_5m_gt,XGBoost,41,21,26.288728326551414,-0.3665539415339845,-4.090084199495741
