target,model,n_samples,RMSE,Spearman_rho,R2
Y_1m_gt,Ridge,92,15.208914435813352,0.7296464825084633,0.4875055450734397
Y_1m_gt,RandomForest,92,16.00681387688163,0.7268547243718915,0.4323213934084644
Y_1m_gt,XGBoost,92,15.902322641205368,0.7426385979362771,0.4397087260420266
Y_3m_gt,Ridge,92,19.935092874869277,0.4540437071293197,0.16426637298830382
Y_3m_gt,RandomForest,92,19.773053489369776,0.431929180521863,0.17779742464221837
Y_3m_gt,XGBoost,92,20.831573354391384,0.42636961946215624,0.08741044240168228
