week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2019-07-08,2019-07-14,1,106588,436.0,9,9,input
2019-07-15,2019-07-21,2,98586,415.0,5,5,input
2019-07-22,2019-07-28,3,60427,323.0,3,3,input
