week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2016-01-14,2016-01-20,1,122951,0.0,11,11,input
2016-01-21,2016-01-27,2,147574,23.0,7,7,input
2016-01-28,2016-02-03,3,138910,77.0,5,5,input
2016-02-04,2016-02-10,4,127592,201.0,10,10,input
