week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2021-09-16,2021-09-22,1,8968,37.0,3,3,input
2021-09-23,2021-09-29,2,8431,50.0,1,1,input
2021-09-30,2021-10-06,3,7818,24.0,8,8,input
2021-10-07,2021-10-13,4,6357,6.0,2,2,input
