week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2021-10-07,2021-10-13,1,58072,410.0,17,17,input
2021-10-14,2021-10-20,2,48843,245.0,12,12,input
2021-10-21,2021-10-27,3,41299,201.0,16,16,input
2021-10-28,2021-11-03,4,41989,0.0,8,8,input
