week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2021-04-06,2021-04-12,1,17286,56.0,9,9,input
2021-04-13,2021-04-19,2,15899,47.0,6,6,input
2021-04-20,2021-04-26,3,14845,45.0,5,5,input
