week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2020-10-03,2020-10-09,1,176277,90.0,10,10,input
2020-10-10,2020-10-16,2,187201,101.0,17,17,input
2020-10-17,2020-10-23,3,206829,109.0,12,12,input
2020-10-24,2020-10-30,4,225584,137.0,24,24,input
