week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2017-01-06,2017-01-12,1,118468,284.0,18,18,input
2017-01-13,2017-01-19,2,119569,249.0,25,25,input
2017-01-20,2017-01-26,3,128909,251.0,17,17,input
2017-01-27,2017-02-02,4,123116,376.0,18,18,input
