week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2022-01-10,2022-01-16,1,69459,442.0,2,2,input
2022-01-17,2022-01-23,2,54892,370.0,1,1,input
2022-01-24,2022-01-30,3,55802,388.0,0,0,input
2022-01-31,2022-02-06,4,57375,402.0,2,2,input
