week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2021-12-05,2021-12-11,1,3901,235.0,0,0,input
2021-12-12,2021-12-18,2,2683,103.0,0,0,input
2021-12-19,2021-12-25,3,2747,90.0,0,0,input
2021-12-26,2022-01-01,4,1804,94.0,0,0,input
