week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2020-01-05,2020-01-11,1,84897,370.0,8,8,input
2020-01-12,2020-01-18,2,57521,266.0,1,1,input
2020-01-19,2020-01-25,3,39320,167.0,5,5,input
2020-01-26,2020-02-01,4,40372,120.0,11,11,input
