week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2018-01-02,2018-01-08,1,45416,320.0,9,9,input
2018-01-09,2018-01-15,2,43039,244.0,7,7,input
2018-01-16,2018-01-22,3,39484,235.0,10,10,input
