week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2017-07-07,2017-07-13,1,85912,251.0,13,13,input
2017-07-14,2017-07-20,2,67251,216.0,6,6,input
2017-07-21,2017-07-27,3,54968,109.0,7,7,input
