week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2018-04-07,2018-04-13,1,61936,291.0,15,15,input
2018-04-14,2018-04-20,2,60943,227.0,20,20,input
2018-04-21,2018-04-27,3,59439,237.0,11,11,input
