week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2019-01-11,2019-01-17,1,196302,382.0,11,11,input
2019-01-18,2019-01-24,2,128660,288.0,5,5,input
2019-01-25,2019-01-31,3,101974,270.0,11,11,input
