week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2022-04-09,2022-04-15,1,36491,251.0,5,5,input
2022-04-16,2022-04-22,2,31815,140.0,1,1,input
2022-04-23,2022-04-29,3,31622,127.0,4,4,input
