week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2019-04-09,2019-04-15,1,78355,170.0,14,14,input
2019-04-16,2019-04-22,2,88995,143.0,10,10,input
2019-04-23,2019-04-29,3,85147,152.0,6,6,input
