week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2022-07-06,2022-07-12,1,93852,347.0,11,11,input
2022-07-13,2022-07-19,2,96791,265.0,11,11,input
2022-07-20,2022-07-26,3,73516,219.0,13,13,input
