week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2023-07-08,2023-07-14,1,22362,318.0,3,3,input
2023-07-15,2023-07-21,2,17319,157.0,2,2,input
2023-07-22,2023-07-28,3,16856,102.0,3,3,input
