week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2022-10-08,2022-10-14,1,54697,82.0,13,13,input
2022-10-15,2022-10-21,2,48864,75.0,5,5,input
2022-10-22,2022-10-28,3,52384,84.0,6,6,input
