week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2019-01-09,2019-01-15,1,175437,416.0,22,22,input
2019-01-16,2019-01-22,2,156359,320.0,15,15,input
2019-01-23,2019-01-29,3,155852,309.0,29,29,input
2019-01-30,2019-02-05,4,168936,359.0,23,23,input
