week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2023-04-07,2023-04-13,1,35755,100.0,4,4,input
2023-04-14,2023-04-20,2,31174,0.0,2,2,input
2023-04-21,2023-04-27,3,24932,0.0,1,1,input
2023-04-28,2023-05-04,4,20463,0.0,1,1,input
