week_start,week_end,week_index,pv_sum,gt_sum,edit_sum,editor_sum,phase
2021-04-10,2021-04-16,1,65225,262.0,7,7,input
2021-04-17,2021-04-23,2,59395,183.0,8,8,input
2021-04-24,2021-04-30,3,59150,182.0,13,13,input
